  32.03
  90.00
 187693872
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1994 03 09 12	41472.00	32.34	198.13	0.00	8.96	8.96	1066.22
1994 03 10 12	41817.60	0.01	479.32	0.00	5.00	5.00	592.80
1994 03 11 12	41817.60	0.00	477.13	0.00	9.19	9.19	614.06
1994 03 12 12	41953.36	0.00	470.31	0.00	10.67	10.67	828.51
1994 03 13 12	42163.20	0.08	167.83	0.00	13.45	13.45	1154.62
1994 03 14 12	42163.20	0.00	469.41	0.00	14.66	14.66	1176.56
1994 03 15 12	42508.80	0.00	402.20	0.00	16.70	16.70	1409.74
1994 03 16 12	42508.80	0.00	482.31	0.00	16.51	16.51	1206.74
1994 03 17 12	42508.80	0.00	482.42	0.00	13.53	13.53	913.77
1994 03 18 12	42854.40	0.00	426.51	0.00	17.23	17.23	1507.99
1994 03 19 12	42854.40	0.00	457.31	0.00	22.33	22.33	2018.20
1994 03 20 12	42854.40	0.00	467.51	0.00	20.70	20.70	1877.00
1994 03 21 12	43200.00	0.00	417.62	0.00	20.50	20.50	1847.05
1994 03 22 12	43200.00	0.03	488.74	0.00	15.28	15.28	1076.27
1994 03 23 12	43200.00	0.17	448.27	0.00	20.05	20.05	1824.04
1994 03 24 12	43545.60	0.11	344.77	0.00	23.03	23.03	2285.72
1994 03 25 12	43545.60	0.02	484.37	0.00	18.29	18.29	1562.87
1994 03 26 12	43545.60	0.17	419.01	0.00	18.51	18.51	1660.83
1994 03 27 12	43891.20	18.24	195.28	0.00	19.11	19.11	2013.57
1994 03 28 12	43891.20	3.26	503.45	0.00	11.20	11.20	948.75
1994 03 29 12	43891.20	0.00	508.39	0.00	8.98	8.98	624.40
1994 03 30 12	44236.80	0.00	482.52	0.00	10.67	10.67	821.37
1994 03 31 12	44236.80	0.00	512.48	0.00	8.17	8.17	674.93
1994 04 01 12	44302.27	0.00	516.51	0.00	12.04	12.04	815.67
1994 04 02 12	44582.40	0.00	461.06	0.00	14.00	14.00	1146.12
1994 04 03 12	44582.40	0.08	492.45	0.00	16.02	16.02	1393.21
1994 04 04 12	44928.00	0.09	471.14	0.00	14.24	14.24	1108.72
1994 04 05 12	44928.00	7.18	304.86	0.00	19.37	19.37	1819.99
1994 04 06 12	44928.00	4.72	413.22	0.00	12.37	12.37	1188.19
1994 04 07 12	45273.60	0.00	524.22	0.00	8.60	8.60	816.32
1994 04 08 12	45273.60	0.00	511.41	0.00	12.38	12.38	1118.27
1994 04 09 12	45273.60	0.09	426.07	0.00	18.95	18.95	1811.20
1994 04 10 12	45619.20	0.05	483.96	0.00	23.22	23.22	2220.10
1994 04 11 12	45619.20	5.62	352.39	0.00	23.66	23.66	2316.45
1994 04 12 12	45619.20	22.74	437.92	0.00	18.82	18.82	1631.62
1994 04 13 12	45964.80	0.00	512.19	0.00	16.86	16.86	1270.25
1994 04 14 12	45964.80	0.00	470.95	0.00	19.80	19.80	1839.05
1994 04 15 12	45964.80	11.72	376.36	0.00	23.66	23.66	2366.89
1994 04 16 12	46310.40	7.40	521.88	0.00	17.61	17.61	1317.79
1994 04 17 12	46310.40	0.00	531.15	0.00	16.72	16.72	1104.13
1994 04 18 12	46310.40	0.00	521.68	0.00	18.47	18.47	1253.88
1994 04 19 12	46656.00	0.00	371.83	0.00	20.02	20.02	1723.25
1994 04 20 12	46656.00	0.00	465.49	0.00	23.78	23.78	2050.66
1994 04 21 12	46656.00	0.34	321.53	0.00	22.85	22.85	1973.51
1994 04 22 12	47001.60	8.03	368.94	0.00	23.29	23.29	2108.41
1994 04 23 12	47001.60	0.01	490.83	0.00	21.86	21.86	1910.68
1994 04 24 12	47001.60	0.28	319.67	0.00	22.61	22.61	2108.24
1994 04 25 12	47211.44	0.00	406.93	0.00	23.30	23.30	2277.59
1994 04 26 12	47347.20	0.00	449.69	0.00	25.31	25.31	2558.65
1994 04 27 12	47347.20	0.05	509.45	0.00	26.19	26.19	2614.84
1994 04 28 12	47347.20	0.09	497.71	0.00	25.60	25.60	2351.15
1994 04 29 12	47692.80	0.71	359.17	0.00	24.43	24.43	2256.05
1994 04 30 12	47692.80	11.27	343.19	0.00	21.68	21.68	2135.36
1994 05 01 12	47692.80	1.58	518.32	0.00	14.95	14.95	1277.17
1994 05 02 12	48038.40	1.00	315.68	0.00	15.28	15.28	1437.30
1994 05 03 12	48038.40	34.86	517.09	0.00	17.71	17.71	1722.77
1994 05 04 12	48038.40	0.00	456.40	0.00	16.31	16.31	1502.64
1994 05 05 12	48103.86	0.18	554.70	0.00	19.62	19.62	1657.50
1994 05 06 12	48384.00	1.09	492.84	0.00	21.23	21.23	1872.21
1994 05 07 12	48384.00	1.93	429.27	0.00	23.90	23.90	2346.17
1994 05 08 12	48384.00	9.72	399.28	0.00	23.34	23.34	2385.08
1994 05 09 12	48707.91	6.87	287.12	0.00	23.87	23.87	2478.11
1994 05 10 12	48729.60	3.46	233.14	0.00	23.40	23.40	2418.17
1994 05 11 12	48729.60	9.38	401.11	0.00	24.84	24.84	2508.98
1994 05 12 12	48729.60	0.11	427.34	0.00	26.32	26.32	2635.68
1994 05 13 12	49075.20	1.28	422.24	0.00	25.06	25.06	2471.80
1994 05 14 12	49075.20	24.30	487.69	0.00	24.75	24.75	2404.36
1994 05 15 12	49075.20	13.18	455.75	0.00	25.53	25.53	2598.39
1994 05 16 12	49075.20	8.95	404.31	0.00	24.93	24.93	2479.57
1994 05 17 12	49399.11	8.96	318.69	0.00	24.22	24.22	2473.85
1994 05 18 12	49420.80	0.00	566.40	0.00	21.80	21.80	1872.92
1994 05 19 12	49420.80	0.00	568.87	0.00	18.04	18.04	1419.92
1994 05 20 12	49420.80	0.00	571.46	0.00	17.06	17.06	1314.02
1994 05 21 12	49420.80	0.00	544.23	0.00	19.26	19.26	1425.09
1994 05 22 12	49766.40	0.00	430.37	0.00	21.89	21.89	1624.17
1994 05 23 12	49766.40	0.00	434.21	0.00	22.48	22.48	1719.27
1994 05 24 12	49766.40	0.00	554.65	0.00	23.89	23.89	1970.62
1994 05 25 12	49766.40	0.00	470.51	0.00	23.24	23.24	2152.15
1994 05 26 12	49766.40	0.94	438.36	0.00	24.91	24.91	2496.18
1994 05 27 12	50112.00	6.60	395.86	0.00	25.12	25.12	2494.17
1994 05 28 12	50112.00	10.10	371.93	0.00	23.17	23.17	2350.99
1994 05 29 12	50112.00	16.28	328.17	0.00	24.32	24.32	2465.53
1994 05 30 12	50112.00	1.65	443.36	0.00	24.70	24.70	2506.48
1994 05 31 12	50112.00	1.52	371.15	0.00	25.99	25.99	2767.36
1994 06 01 12	50112.00	0.45	380.94	0.00	24.46	24.46	2447.08
1994 06 02 12	50321.84	5.07	353.96	0.00	25.15	25.15	2553.23
1994 06 03 12	50457.60	0.43	368.59	0.00	25.49	25.49	2618.16
1994 06 04 12	50457.60	0.70	369.58	0.00	26.42	26.42	2639.06
1994 06 05 12	50457.60	2.66	398.15	0.00	26.58	26.58	2667.92
1994 06 06 12	50457.60	1.13	445.29	0.00	26.83	26.83	2725.82
1994 06 07 12	50457.60	2.99	566.63	0.00	28.60	28.60	3042.94
1994 06 08 12	50457.60	0.00	598.82	0.00	29.06	29.06	3045.43
1994 06 09 12	50457.60	1.19	469.22	0.00	27.91	27.91	3015.65
1994 06 10 12	50457.60	22.22	386.29	0.00	27.24	27.24	2863.25
1994 06 11 12	50523.07	6.46	502.66	0.00	26.04	26.04	2675.88
1994 06 12 12	50781.51	15.68	354.12	0.00	25.60	25.60	2702.21
1994 06 13 12	50803.20	9.43	481.90	0.00	25.80	25.80	2670.03
1994 06 14 12	50803.20	0.00	489.28	0.00	26.98	26.98	2742.22
1994 06 15 12	50803.20	3.68	468.94	0.00	27.18	27.18	2797.18
1994 06 16 12	50803.20	0.07	508.74	0.00	27.75	27.75	2939.59
1994 06 17 12	50803.20	7.56	511.18	0.00	27.63	27.63	2770.52
1994 06 18 12	50803.20	5.62	346.40	0.00	28.02	28.02	2876.77
1994 06 19 12	50803.20	2.94	339.46	0.00	27.04	27.04	2903.91
1994 06 20 12	50803.20	4.58	370.59	0.00	27.39	27.39	2801.21
1994 06 21 12	50803.20	2.33	359.94	0.00	26.35	26.35	2712.91
1994 06 22 12	50803.20	8.25	374.56	0.00	25.97	25.97	2690.82
1994 06 23 12	50803.20	2.76	371.09	0.00	26.79	26.79	2834.37
1994 06 24 12	50803.20	0.63	426.22	0.00	26.72	26.72	2853.33
1994 06 25 12	50803.20	0.00	542.94	0.00	27.73	27.73	2539.51
1994 06 26 12	50803.20	0.00	477.86	0.00	28.08	28.08	2802.53
1994 06 27 12	50803.20	0.00	609.58	0.00	28.64	28.64	2898.03
1994 06 28 12	50803.20	0.00	565.99	0.00	28.13	28.13	2781.35
1994 06 29 12	50803.20	0.00	583.16	0.00	29.35	29.35	2943.51
1994 06 30 12	50803.20	0.02	601.95	0.00	29.03	29.03	2814.94
1994 07 01 12	50667.44	10.70	596.15	0.00	28.90	28.90	2873.83
1994 07 02 12	50523.07	0.00	529.97	0.00	28.17	28.17	2796.88
1994 07 03 12	50457.60	0.00	524.83	0.00	29.11	29.11	2907.46
1994 07 04 12	50457.60	0.00	479.52	0.00	28.37	28.37	2770.35
1994 07 05 12	50457.60	0.00	473.22	0.00	28.40	28.40	2906.79
1994 07 06 12	50457.60	0.00	515.72	0.00	27.87	27.87	2787.21
1994 07 07 12	50457.60	5.27	472.45	0.00	28.29	28.29	2931.21
1994 07 08 12	50457.60	7.54	451.61	0.00	27.57	27.57	2827.27
1994 07 09 12	50457.60	7.87	430.37	0.00	26.74	26.74	2705.32
1994 07 10 12	50457.60	2.26	402.01	0.00	25.89	25.89	2641.13
1994 07 11 12	50177.46	11.25	318.22	0.00	26.26	26.26	2699.75
1994 07 12 12	50112.00	30.88	343.07	0.00	26.34	26.34	2801.44
1994 07 13 12	50112.00	1.61	492.00	0.00	27.21	27.21	2802.97
1994 07 14 12	50112.00	5.81	368.36	0.00	26.89	26.89	2833.91
1994 07 15 12	50112.00	5.89	407.57	0.00	26.72	26.72	2807.05
1994 07 16 12	50112.00	1.30	577.17	0.00	28.55	28.55	2904.53
1994 07 17 12	49976.23	0.09	606.73	0.00	28.81	28.81	2811.93
1994 07 18 12	49766.40	0.00	585.31	0.00	29.38	29.38	2812.34
1994 07 19 12	49766.40	0.00	579.11	0.00	28.88	28.88	2813.70
1994 07 20 12	49766.40	0.00	474.27	0.00	28.36	28.36	2877.03
1994 07 21 12	49766.40	0.17	438.66	0.00	28.05	28.05	2890.75
1994 07 22 12	49630.64	8.68	379.98	0.00	27.62	27.62	2909.62
1994 07 23 12	49420.80	0.03	619.74	0.00	28.68	28.68	2699.53
1994 07 24 12	49420.80	0.02	548.05	0.00	28.96	28.96	2601.14
1994 07 25 12	49420.80	0.00	589.31	0.00	28.78	28.78	2565.61
1994 07 26 12	49420.80	0.10	324.40	0.00	28.03	28.03	2840.99
1994 07 27 12	49075.20	1.59	542.86	0.00	26.88	26.88	2619.90
1994 07 28 12	49075.20	0.00	625.21	0.00	23.76	23.76	1897.25
1994 07 29 12	49075.20	0.00	598.73	0.00	24.82	24.82	1872.12
1994 07 30 12	49075.20	3.53	440.06	0.00	24.16	24.16	2075.11
1994 07 31 12	48795.07	4.79	507.89	0.00	25.79	25.79	2251.23
1994 08 01 12	48729.60	0.83	491.41	0.00	26.31	26.31	2313.83
1994 08 02 12	48729.60	0.98	389.38	0.00	26.40	26.40	2484.51
1994 08 03 12	48729.60	1.36	335.59	0.00	25.55	25.55	2465.46
1994 08 04 12	48384.00	2.69	437.89	0.00	26.78	26.78	2619.30
1994 08 05 12	48384.00	5.99	389.76	0.00	27.14	27.14	2660.02
1994 08 06 12	48384.00	12.42	310.64	0.00	26.93	26.93	2630.19
1994 08 07 12	48384.00	5.63	383.81	0.00	27.50	27.50	2720.50
1994 08 08 12	48038.40	54.20	347.75	0.00	26.45	26.45	2684.72
1994 08 09 12	48038.40	1.62	382.66	0.00	26.23	26.23	2565.49
1994 08 10 12	48038.40	0.42	487.53	0.00	28.05	28.05	2627.48
1994 08 11 12	47692.80	0.00	442.80	0.00	28.05	28.05	2574.61
1994 08 12 12	47692.80	0.00	444.03	0.00	28.18	28.18	2630.47
1994 08 13 12	47692.80	0.00	346.81	0.00	28.22	28.22	2789.02
1994 08 14 12	47692.80	0.45	446.87	0.00	28.15	28.15	2682.32
1994 08 15 12	47347.20	1.54	431.77	0.00	28.78	28.78	2773.43
1994 08 16 12	47347.20	0.03	562.13	0.00	25.61	25.61	2240.08
1994 08 17 12	47347.20	0.00	524.84	0.00	25.38	25.38	2113.07
1994 08 18 12	47001.60	0.00	396.95	0.00	27.01	27.01	2695.91
1994 08 19 12	47001.60	0.00	553.73	0.00	28.76	28.76	2779.93
1994 08 20 12	47001.60	3.89	413.46	0.00	28.45	28.45	2830.25
1994 08 21 12	46656.00	48.98	437.89	0.00	27.27	27.27	2840.32
1994 08 22 12	46656.00	2.39	423.09	0.00	26.63	26.63	2544.40
1994 08 23 12	46656.00	0.13	322.44	0.00	27.01	27.01	2741.72
1994 08 24 12	46310.40	0.10	209.30	0.00	26.55	26.55	2793.87
1994 08 25 12	46310.40	13.68	225.63	0.00	26.78	26.78	2910.43
1994 08 26 12	46310.40	5.03	240.43	0.00	26.77	26.77	2908.83
1994 08 27 12	45964.80	0.02	334.92	0.00	27.03	27.03	2774.98
1994 08 28 12	45964.80	0.00	527.77	0.00	27.06	27.06	2476.20
1994 08 29 12	45964.80	0.00	497.61	0.00	27.80	27.80	2635.17
1994 08 30 12	45619.20	0.15	382.84	0.00	27.70	27.70	2811.99
1994 08 31 12	45619.20	8.91	366.52	0.00	26.79	26.79	2787.77
1994 09 01 12	45619.20	13.48	326.03	0.00	26.38	26.38	2712.67
1994 09 02 12	45273.60	6.28	328.53	0.00	26.13	26.13	2747.78
1994 09 03 12	45273.60	0.31	313.39	0.00	25.29	25.29	2590.07
1994 09 04 12	45273.60	0.05	259.19	0.00	25.70	25.70	2656.69
1994 09 05 12	44928.00	0.07	462.57	0.00	27.70	27.70	2787.15
1994 09 06 12	44928.00	4.23	374.81	0.00	27.61	27.61	2825.60
1994 09 07 12	44928.00	1.61	436.05	0.00	27.11	27.11	2706.64
1994 09 08 12	44582.40	0.18	456.29	0.00	27.35	27.35	2588.54
1994 09 09 12	44582.40	0.01	324.20	0.00	24.64	24.64	2224.83
1994 09 10 12	44582.40	2.89	296.74	0.00	24.38	24.38	2355.66
1994 09 11 12	44236.80	2.23	304.84	0.00	25.50	25.50	2539.34
1994 09 12 12	44236.80	0.00	442.44	0.00	26.42	26.42	2511.05
1994 09 13 12	44236.80	0.00	455.65	0.00	27.52	27.52	2641.08
1994 09 14 12	43891.20	0.00	374.63	0.00	27.49	27.49	2672.16
1994 09 15 12	43891.20	0.66	422.04	0.00	25.90	25.90	2479.03
1994 09 16 12	43891.20	1.18	286.16	0.00	22.83	22.83	2382.34
1994 09 17 12	43545.60	0.38	400.46	0.00	24.72	24.72	2429.38
1994 09 18 12	43545.60	0.00	471.52	0.00	22.79	22.79	1850.97
1994 09 19 12	43545.60	0.00	397.12	0.00	22.03	22.03	1733.99
