  46.38
 258.00
  141870679
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 12 04 12	30758.40	18.76	150.66	0.00	7.48	7.48	945.11
1993 12 05 12	30758.40	0.21	106.46	0.00	3.76	3.76	686.86
1993 12 06 12	30758.40	0.53	87.59	0.00	2.72	2.72	628.52
1993 12 07 12	30752.37	43.74	57.93	0.00	6.53	6.53	923.91
1993 12 08 12	30412.80	27.88	101.89	0.00	6.57	6.57	936.28
1993 12 09 12	30412.80	65.61	55.90	0.00	6.74	6.74	924.87
1993 12 10 12	30412.80	44.09	109.95	0.00	9.83	9.83	1158.05
1993 12 11 12	30412.80	11.99	111.84	0.00	8.16	8.16	1034.57
1993 12 12 12	30412.80	6.07	125.27	0.00	5.34	5.34	814.26
1993 12 13 12	30412.80	13.07	83.54	0.00	7.09	7.09	924.99
1993 12 14 12	30406.77	5.15	115.79	0.00	7.02	7.02	925.95
1993 12 15 12	30245.75	0.26	185.68	0.00	5.97	5.97	829.11
1993 12 16 12	30103.16	0.00	212.39	0.00	3.48	3.48	684.83
1993 12 17 12	30067.20	0.00	211.01	0.00	2.05	2.05	590.97
1993 12 18 12	30067.20	0.00	205.31	0.00	1.40	1.40	551.04
1993 12 19 12	30067.20	0.00	206.96	0.00	1.56	1.56	579.60
1993 12 20 12	30067.20	0.00	208.73	0.00	1.67	1.67	593.55
1993 12 21 12	30067.20	0.00	203.12	0.00	1.31	1.31	617.72
1993 12 22 12	30067.20	0.00	210.98	0.00	2.22	2.22	622.28
1993 12 23 12	30067.20	0.00	207.72	0.00	2.09	2.09	599.56
1993 12 24 12	30067.20	0.00	205.77	0.00	4.14	4.14	569.74
1993 12 25 12	30103.16	0.00	194.75	0.00	4.55	4.55	624.36
1993 12 26 12	30245.75	0.00	187.97	0.00	3.95	3.95	675.76
1993 12 27 12	30245.75	0.00	190.71	0.00	4.25	4.25	718.91
1993 12 28 12	30412.80	1.15	94.25	0.00	4.19	4.19	674.22
1993 12 29 12	30412.80	2.37	96.83	0.00	6.10	6.10	771.71
1993 12 30 12	30412.80	11.96	66.90	0.00	7.93	7.93	989.64
1993 12 31 12	30412.80	33.69	86.40	0.00	7.14	7.14	954.55
1994 01 01 12	30412.80	62.56	130.60	0.00	8.13	8.13	1024.83
1994 01 02 12	30412.80	10.40	106.71	0.00	8.17	8.17	1013.41
1994 01 03 12	30448.77	18.59	60.39	0.00	9.26	9.26	1112.69
1994 01 04 12	30758.40	31.40	126.72	0.00	9.53	9.53	1132.95
1994 01 05 12	30758.40	13.38	159.60	0.00	5.85	5.85	842.04
1994 01 06 12	30758.40	0.34	188.75	0.00	5.43	5.43	805.93
1994 01 07 12	30758.40	0.33	124.03	0.00	4.68	4.68	770.62
1994 01 08 12	30936.95	29.35	103.69	0.00	7.70	7.70	989.02
1994 01 09 12	31104.00	11.13	102.71	0.00	7.52	7.52	976.70
1994 01 10 12	31104.00	4.30	65.25	0.00	6.90	6.90	935.06
1994 01 11 12	31104.00	27.94	110.04	0.00	7.43	7.43	966.65
1994 01 12 12	31282.55	9.36	66.70	0.00	8.66	8.66	1053.36
1994 01 13 12	31449.60	1.81	149.64	0.00	9.86	9.86	1159.12
1994 01 14 12	31449.60	0.04	207.63	0.00	7.96	7.96	955.85
1994 01 15 12	31485.56	1.65	206.14	0.00	7.83	7.83	972.65
1994 01 16 12	31795.20	0.23	154.31	0.00	5.47	5.47	827.93
1994 01 17 12	31795.20	0.00	218.88	0.00	5.64	5.64	790.11
1994 01 18 12	31831.16	0.00	225.45	0.00	4.95	4.95	695.33
1994 01 19 12	32140.80	0.00	235.12	0.00	5.63	5.63	718.81
1994 01 20 12	32140.80	0.54	170.37	0.00	6.85	6.85	744.66
1994 01 21 12	32319.35	6.36	72.96	0.00	8.85	8.85	923.71
1994 01 22 12	32486.40	17.27	69.70	0.00	9.47	9.47	1122.90
1994 01 23 12	32486.40	18.15	123.26	0.00	9.69	9.69	1150.23
1994 01 24 12	32832.00	4.35	139.55	0.00	7.25	7.25	931.37
1994 01 25 12	32832.00	0.98	245.99	0.00	5.16	5.16	763.98
1994 01 26 12	32867.96	0.08	152.54	0.00	4.71	4.71	725.24
1994 01 27 12	33177.60	0.00	256.25	0.00	3.77	3.77	692.45
1994 01 28 12	33177.60	0.00	264.70	0.00	3.24	3.24	658.44
1994 01 29 12	33523.20	0.00	264.05	0.00	4.21	4.21	636.90
1994 01 30 12	33523.20	0.00	272.23	0.00	4.51	4.51	631.33
1994 01 31 12	33868.80	0.00	273.68	0.00	3.77	3.77	546.16
1994 02 01 12	33868.80	0.00	286.01	0.00	3.83	3.83	579.16
1994 02 02 12	34047.35	0.00	269.08	0.00	3.65	3.65	563.90
1994 02 03 12	34214.40	0.00	292.82	0.00	3.43	3.43	626.06
1994 02 04 12	34250.36	0.00	298.10	0.00	1.86	1.86	577.81
1994 02 05 12	34560.00	0.00	299.78	0.00	2.13	2.13	530.79
1994 02 06 12	34560.00	0.16	299.23	0.00	1.78	1.78	576.75
1994 02 07 12	34905.60	0.03	138.00	0.00	0.19	0.19	552.51
1994 02 08 12	34905.60	0.00	254.78	0.00	-2.46	-2.46	356.01
1994 02 09 12	35251.20	12.18	211.55	0.00	3.47	3.47	645.75
1994 02 10 12	35251.20	1.66	134.22	0.00	3.28	3.28	659.86
1994 02 11 12	35596.80	5.62	232.63	0.00	3.71	3.71	693.31
1994 02 12 12	35632.77	15.53	146.36	0.00	4.68	4.68	770.57
1994 02 13 12	35942.40	58.50	176.15	0.00	5.78	5.78	836.78
1994 02 14 12	36120.94	10.24	170.91	0.00	5.18	5.18	794.11
1994 02 15 12	36288.00	25.26	166.55	0.00	6.64	6.64	913.76
1994 02 16 12	36627.57	41.92	119.76	0.00	7.87	7.87	1020.05
1994 02 17 12	36633.60	29.73	176.59	0.00	7.25	7.25	980.31
1994 02 18 12	36979.20	7.57	140.96	0.00	4.02	4.02	743.34
1994 02 19 12	36979.20	9.31	119.39	0.00	3.55	3.55	711.08
1994 02 20 12	37324.80	14.12	135.62	0.00	4.58	4.58	764.19
1994 02 21 12	37324.80	27.61	231.97	0.00	3.95	3.95	714.05
1994 02 22 12	37670.40	10.09	129.38	0.00	4.00	4.00	740.76
1994 02 23 12	37670.40	41.80	75.82	0.00	5.71	5.71	871.36
1994 02 24 12	38016.00	27.02	124.90	0.00	3.45	3.45	732.21
1994 02 25 12	38051.96	13.95	173.51	0.00	6.19	6.19	891.60
1994 02 26 12	38361.60	10.83	166.49	0.00	6.56	6.56	915.45
1994 02 27 12	38707.20	12.03	147.68	0.00	7.57	7.57	976.99
1994 02 28 12	38707.20	15.60	89.41	0.00	9.90	9.90	1151.38
1994 03 01 12	39052.80	11.17	96.89	0.00	11.13	11.13	1237.32
1994 03 02 12	39052.80	37.73	172.12	0.00	11.02	11.02	1232.71
1994 03 03 12	39398.40	29.51	227.57	0.00	10.15	10.15	1166.53
1994 03 04 12	39398.40	2.45	288.72	0.00	8.73	8.73	1006.96
1994 03 05 12	39744.00	0.00	401.70	0.00	4.20	4.20	655.61
1994 03 06 12	40089.60	0.00	401.17	0.00	3.88	3.88	608.52
1994 03 07 12	40089.60	0.00	358.88	0.00	4.71	4.71	591.31
1994 03 08 12	40435.20	1.44	298.49	0.00	6.16	6.16	626.68
1994 03 09 12	40435.20	0.00	228.61	0.00	8.50	8.50	734.86
1994 03 10 12	40780.80	7.68	268.28	0.00	7.09	7.09	922.38
1994 03 11 12	41126.40	0.23	405.44	0.00	5.94	5.94	775.75
1994 03 12 12	41126.40	0.00	355.86	0.00	8.33	8.33	799.64
1994 03 13 12	41472.00	0.00	285.26	0.00	11.74	11.74	957.15
1994 03 14 12	41472.00	0.92	313.10	0.00	9.83	9.83	1008.54
1994 03 15 12	41817.60	2.48	170.35	0.00	9.31	9.31	1008.16
1994 03 16 12	41817.60	14.27	247.77	0.00	7.11	7.11	908.87
1994 03 17 12	42163.20	30.06	152.84	0.00	6.24	6.24	880.54
1994 03 18 12	42508.80	39.83	267.64	0.00	5.94	5.94	851.91
1994 03 19 12	42508.80	17.35	276.16	0.00	4.47	4.47	737.23
1994 03 20 12	42854.40	16.70	108.62	0.00	5.40	5.40	836.23
1994 03 21 12	42854.40	22.62	300.69	0.00	4.72	4.72	743.54
1994 03 22 12	43200.00	6.57	279.41	0.00	3.22	3.22	631.50
1994 03 23 12	43545.60	2.19	383.64	0.00	3.68	3.68	624.71
1994 03 24 12	43545.60	0.01	410.97	0.00	6.63	6.63	661.28
1994 03 25 12	43891.20	0.00	460.69	0.00	6.96	6.96	639.20
1994 03 26 12	43891.20	0.00	467.77	0.00	8.89	8.89	745.01
1994 03 27 12	44236.80	0.00	473.83	0.00	11.97	11.97	950.61
1994 03 28 12	44582.40	0.00	475.18	0.00	12.94	12.94	950.48
1994 03 29 12	44582.40	0.00	469.14	0.00	10.70	10.70	908.29
1994 03 30 12	44928.00	1.55	244.05	0.00	9.94	9.94	1071.83
1994 03 31 12	44928.00	0.97	405.50	0.00	9.71	9.71	1091.16
1994 04 01 12	45273.60	1.71	411.09	0.00	7.84	7.84	931.94
1994 04 02 12	45273.60	0.08	266.94	0.00	8.62	8.62	990.63
1994 04 03 12	45619.20	2.64	300.55	0.00	7.05	7.05	896.06
1994 04 04 12	45964.80	1.05	367.51	0.00	6.38	6.38	815.09
1994 04 05 12	45964.80	1.80	283.42	0.00	6.31	6.31	784.19
1994 04 06 12	46310.40	29.22	274.47	0.00	7.00	7.00	887.41
1994 04 07 12	46310.40	10.54	210.14	0.00	6.31	6.31	825.55
1994 04 08 12	46656.00	47.79	161.18	0.00	7.30	7.30	931.78
1994 04 09 12	47001.60	8.38	208.21	0.00	7.10	7.10	882.84
1994 04 10 12	47001.60	2.47	432.75	0.00	8.37	8.37	925.88
1994 04 11 12	47347.20	0.01	290.03	0.00	9.49	9.49	960.10
1994 04 12 12	47347.20	19.44	377.13	0.00	8.38	8.38	985.10
1994 04 13 12	47692.80	0.77	267.56	0.00	6.43	6.43	851.88
1994 04 14 12	47692.80	2.09	292.60	0.00	6.54	6.54	846.90
1994 04 15 12	48038.40	0.22	416.76	0.00	7.45	7.45	761.81
1994 04 16 12	48348.04	0.00	395.32	0.00	10.99	10.99	914.22
1994 04 17 12	48384.00	0.64	331.78	0.00	12.28	12.28	1220.72
1994 04 18 12	48729.60	1.96	275.26	0.00	14.23	14.23	1354.89
1994 04 19 12	48729.60	0.95	306.67	0.00	11.82	11.82	1214.39
1994 04 20 12	49075.20	1.72	295.49	0.00	11.42	11.42	1169.10
1994 04 21 12	49075.20	2.48	382.79	0.00	10.75	10.75	1113.67
1994 04 22 12	49420.80	0.01	431.09	0.00	9.48	9.48	948.26
1994 04 23 12	49420.80	1.48	275.96	0.00	9.71	9.71	1008.32
1994 04 24 12	49766.40	0.69	442.94	0.00	8.95	8.95	963.93
1994 04 25 12	49772.43	1.00	428.92	0.00	9.53	9.53	929.88
1994 04 26 12	50112.00	0.00	512.55	0.00	9.53	9.53	975.00
1994 04 27 12	50279.06	0.50	519.47	0.00	9.91	9.91	1060.72
1994 04 28 12	50457.60	1.57	384.64	0.00	9.48	9.48	1055.84
1994 04 29 12	50767.23	1.13	281.85	0.00	11.94	11.94	1163.29
1994 04 30 12	50803.20	4.95	428.78	0.00	8.55	8.55	939.20
1994 05 01 12	51148.80	0.40	309.71	0.00	7.80	7.80	820.36
1994 05 02 12	51148.80	3.57	293.30	0.00	9.39	9.39	994.52
1994 05 03 12	51494.40	0.48	330.09	0.00	9.89	9.89	976.60
1994 05 04 12	51494.40	23.34	382.17	0.00	12.35	12.35	1252.90
1994 05 05 12	51840.00	0.00	546.08	0.00	13.01	13.01	1204.64
1994 05 06 12	51840.00	0.00	560.32	0.00	15.43	15.43	1295.66
1994 05 07 12	52149.64	0.00	556.77	0.00	15.09	15.09	1348.66
1994 05 08 12	52185.60	0.00	567.13	0.00	11.99	11.99	1211.22
1994 05 09 12	52352.65	0.00	499.97	0.00	10.96	10.96	1104.45
1994 05 10 12	52531.20	0.00	511.65	0.00	13.20	13.20	1187.52
1994 05 11 12	52531.20	0.00	545.73	0.00	13.85	13.85	1292.72
1994 05 12 12	52876.80	1.97	516.70	0.00	11.94	11.94	1141.12
1994 05 13 12	52876.80	2.83	419.79	0.00	9.82	9.82	990.44
1994 05 14 12	53222.40	0.00	389.73	0.00	10.58	10.58	1043.16
1994 05 15 12	53222.40	3.66	315.13	0.00	10.58	10.58	1122.38
1994 05 16 12	53532.04	5.89	381.81	0.00	10.43	10.43	1071.15
1994 05 17 12	53568.00	3.19	404.21	0.00	10.37	10.37	1058.96
1994 05 18 12	53568.00	0.00	567.48	0.00	10.64	10.64	1082.14
1994 05 19 12	53913.60	0.11	516.62	0.00	11.36	11.36	1186.16
1994 05 20 12	53913.60	0.00	477.88	0.00	11.69	11.69	1192.04
1994 05 21 12	54080.65	0.00	474.44	0.00	11.34	11.34	1110.16
1994 05 22 12	54259.20	0.00	547.87	0.00	11.80	11.80	1143.41
1994 05 23 12	54259.20	0.00	545.13	0.00	12.26	12.26	1191.88
1994 05 24 12	54568.84	0.08	289.75	0.00	11.63	11.63	1193.77
1994 05 25 12	54604.80	0.81	419.99	0.00	12.67	12.67	1259.59
1994 05 26 12	54604.80	0.24	574.83	0.00	10.75	10.75	1053.52
1994 05 27 12	54914.43	1.41	526.32	0.00	9.50	9.50	971.00
1994 05 28 12	54950.40	6.47	177.65	0.00	8.87	8.87	1005.38
1994 05 29 12	54950.40	22.65	350.42	0.00	9.20	9.20	1043.34
1994 05 30 12	55117.45	6.32	433.38	0.00	9.67	9.67	1031.20
1994 05 31 12	55296.00	1.32	307.18	0.00	12.83	12.83	1201.49
1994 06 01 12	55296.00	4.52	437.58	0.00	11.16	11.16	1108.44
1994 06 02 12	55296.00	0.17	429.02	0.00	12.51	12.51	1113.12
1994 06 03 12	55463.06	0.00	376.16	0.00	12.76	12.76	1194.75
1994 06 04 12	55641.60	10.09	286.35	0.00	11.99	11.99	1204.44
1994 06 05 12	55641.60	0.22	327.25	0.00	12.07	12.07	1151.44
1994 06 06 12	55641.60	14.71	305.39	0.00	10.83	10.83	1152.84
1994 06 07 12	55641.60	15.06	319.53	0.00	10.15	10.15	1055.35
1994 06 08 12	55951.23	0.31	329.44	0.00	12.00	12.00	1073.57
1994 06 09 12	55987.20	1.11	314.51	0.00	13.46	13.46	1156.52
1994 06 10 12	55987.20	0.00	444.13	0.00	14.12	14.12	1348.82
1994 06 11 12	55987.20	7.34	280.55	0.00	13.97	13.97	1398.23
1994 06 12 12	55987.20	3.51	237.79	0.00	13.39	13.39	1419.78
1994 06 13 12	55987.20	22.89	276.01	0.00	10.71	10.71	1171.45
1994 06 14 12	55987.20	21.86	297.54	0.00	9.83	9.83	1061.23
1994 06 15 12	55993.23	3.71	311.55	0.00	10.18	10.18	1057.47
1994 06 16 12	56154.25	1.12	407.66	0.00	12.39	12.39	1161.33
1994 06 17 12	56296.84	0.70	448.34	0.00	12.63	12.63	1197.69
1994 06 18 12	56332.80	0.26	416.30	0.00	12.27	12.27	1163.89
1994 06 19 12	56332.80	0.00	514.09	0.00	12.33	12.33	1100.11
1994 06 20 12	56332.80	0.00	511.75	0.00	14.27	14.27	1339.86
1994 06 21 12	56332.80	0.00	489.77	0.00	13.58	13.58	1319.46
1994 06 22 12	56332.80	0.03	426.64	0.00	12.94	12.94	1285.80
1994 06 23 12	56332.80	0.03	452.83	0.00	12.71	12.71	1278.42
1994 06 24 12	56332.80	0.76	372.52	0.00	11.45	11.45	1143.54
1994 06 25 12	56332.80	0.24	379.51	0.00	12.56	12.56	1220.24
1994 06 26 12	56296.84	2.62	340.64	0.00	12.59	12.59	1246.93
1994 06 27 12	56154.25	0.00	511.97	0.00	13.74	13.74	1300.45
1994 06 28 12	55993.23	0.08	515.44	0.00	13.56	13.56	1342.33
1994 06 29 12	55987.20	0.38	480.49	0.00	12.84	12.84	1284.01
1994 06 30 12	55987.20	0.19	486.94	0.00	11.81	11.81	1205.06
1994 07 01 12	55987.20	14.31	192.91	0.00	12.65	12.65	1339.59
1994 07 02 12	55987.20	1.50	288.86	0.00	12.12	12.12	1265.68
1994 07 03 12	55987.20	0.32	462.52	0.00	12.23	12.23	1197.80
1994 07 04 12	55987.20	0.14	340.36	0.00	11.70	11.70	1199.40
1994 07 05 12	55647.64	3.29	425.19	0.00	12.45	12.45	1261.79
1994 07 06 12	55641.60	0.00	486.63	0.00	13.44	13.44	1330.67
1994 07 07 12	55641.60	0.00	483.47	0.00	15.35	15.35	1513.62
1994 07 08 12	55641.60	0.00	477.22	0.00	13.67	13.67	1367.06
1994 07 09 12	55641.60	0.00	488.72	0.00	13.07	13.07	1289.90
1994 07 10 12	55302.04	0.00	494.59	0.00	13.43	13.43	1305.77
1994 07 11 12	55296.00	0.00	472.80	0.00	13.58	13.58	1306.57
1994 07 12 12	55296.00	0.02	490.76	0.00	13.76	13.76	1335.45
1994 07 13 12	55296.00	0.57	460.65	0.00	13.38	13.38	1327.40
1994 07 14 12	54950.40	0.00	487.70	0.00	13.64	13.64	1367.34
1994 07 15 12	54950.40	0.02	485.35	0.00	13.58	13.58	1363.88
1994 07 16 12	54950.40	0.03	476.93	0.00	14.37	14.37	1442.14
1994 07 17 12	54610.84	0.00	462.86	0.00	14.36	14.36	1411.89
1994 07 18 12	54604.80	0.00	309.38	0.00	15.51	15.51	1519.70
1994 07 19 12	54604.80	0.00	471.76	0.00	17.21	17.21	1622.43
1994 07 20 12	54265.23	0.00	478.83	0.00	20.75	20.75	1930.40
1994 07 21 12	54259.20	0.00	462.46	0.00	17.35	17.35	1678.47
1994 07 22 12	54259.20	0.00	467.24	0.00	17.43	17.43	1633.18
1994 07 23 12	53913.60	0.14	430.78	0.00	17.30	17.30	1610.65
1994 07 24 12	53913.60	0.00	422.96	0.00	16.79	16.79	1584.69
1994 07 25 12	53877.64	0.03	454.46	0.00	15.63	15.63	1494.72
1994 07 26 12	53568.00	0.00	478.58	0.00	15.33	15.33	1441.05
1994 07 27 12	53568.00	0.09	477.31	0.00	15.29	15.29	1483.96
1994 07 28 12	53222.40	0.23	478.59	0.00	14.74	14.74	1444.46
1994 07 29 12	53222.40	0.34	410.88	0.00	14.74	14.74	1442.73
1994 07 30 12	53043.85	0.00	475.05	0.00	14.06	14.06	1325.50
1994 07 31 12	52876.80	0.00	474.92	0.00	14.59	14.59	1336.97
1994 08 01 12	52876.80	0.00	476.29	0.00	15.21	15.21	1410.88
1994 08 02 12	52531.20	0.00	456.88	0.00	16.10	16.10	1533.47
1994 08 03 12	52531.20	0.39	394.42	0.00	16.37	16.37	1578.43
1994 08 04 12	52185.60	0.28	300.15	0.00	16.76	16.76	1619.17
1994 08 05 12	52185.60	0.54	387.51	0.00	15.30	15.30	1469.34
1994 08 06 12	51840.00	1.14	430.96	0.00	14.78	14.78	1329.07
1994 08 07 12	51840.00	2.23	260.89	0.00	15.01	15.01	1438.66
1994 08 08 12	51494.40	20.06	234.43	0.00	13.08	13.08	1353.85
1994 08 09 12	51494.40	10.12	371.25	0.00	15.07	15.07	1483.75
1994 08 10 12	51148.80	0.00	470.19	0.00	17.21	17.21	1521.35
1994 08 11 12	51148.80	0.00	466.75	0.00	16.38	16.38	1567.18
1994 08 12 12	50803.20	0.00	469.22	0.00	15.42	15.42	1488.79
1994 08 13 12	50803.20	0.00	454.72	0.00	15.25	15.25	1483.04
1994 08 14 12	50457.60	0.71	424.68	0.00	15.35	15.35	1478.06
1994 08 15 12	50457.60	0.01	458.59	0.00	15.28	15.28	1441.47
1994 08 16 12	50112.00	1.03	289.77	0.00	15.36	15.36	1484.49
1994 08 17 12	50112.00	0.03	408.16	0.00	16.47	16.47	1537.98
1994 08 18 12	49766.40	0.18	334.28	0.00	15.30	15.30	1462.43
1994 08 19 12	49766.40	1.90	326.08	0.00	15.71	15.71	1526.73
1994 08 20 12	49420.80	1.81	299.36	0.00	14.62	14.62	1448.86
1994 08 21 12	49420.80	0.00	209.44	0.00	14.18	14.18	1417.88
1994 08 22 12	49075.20	2.17	239.97	0.00	14.50	14.50	1475.53
1994 08 23 12	48735.64	0.36	410.53	0.00	15.88	15.88	1490.05
1994 08 24 12	48729.60	0.00	457.23	0.00	14.84	14.84	1310.51
1994 08 25 12	48384.00	0.00	319.76	0.00	14.50	14.50	1271.17
1994 08 26 12	48384.00	0.00	448.59	0.00	14.52	14.52	1284.63
1994 08 27 12	48038.40	0.01	449.92	0.00	16.34	16.34	1409.06
1994 08 28 12	48038.40	0.18	386.95	0.00	16.29	16.29	1533.16
1994 08 29 12	47692.80	0.11	433.34	0.00	15.38	15.38	1445.39
1994 08 30 12	47692.80	0.00	439.83	0.00	15.12	15.12	1357.21
1994 08 31 12	47347.20	0.00	401.06	0.00	14.89	14.89	1424.42
1994 09 01 12	47001.60	0.89	417.86	0.00	13.89	13.89	1304.96
1994 09 02 12	47001.60	0.00	376.89	0.00	12.85	12.85	1162.29
1994 09 03 12	46656.00	22.83	250.48	0.00	14.52	14.52	1443.86
1994 09 04 12	46656.00	0.32	396.52	0.00	14.72	14.72	1382.05
1994 09 05 12	46310.40	0.00	436.41	0.00	15.16	15.16	1262.55
1994 09 06 12	46274.43	0.63	410.21	0.00	15.41	15.41	1334.36
1994 09 07 12	45964.80	0.07	377.20	0.00	14.72	14.72	1404.25
1994 09 08 12	45619.20	16.64	207.70	0.00	13.67	13.67	1423.99
1994 09 09 12	45619.20	13.36	227.17	0.00	12.41	12.41	1292.91
1994 09 10 12	45273.60	10.71	224.82	0.00	12.32	12.32	1264.66
1994 09 11 12	45273.60	0.84	396.89	0.00	12.90	12.90	1207.31
1994 09 12 12	44928.00	0.00	425.04	0.00	13.00	13.00	1157.56
1994 09 13 12	44582.40	0.19	336.97	0.00	13.15	13.15	1249.07
1994 09 14 12	44582.40	8.10	201.45	0.00	14.53	14.53	1496.50
1994 09 15 12	44236.80	0.85	259.28	0.00	16.26	16.26	1643.31
1994 09 16 12	44236.80	0.00	397.78	0.00	17.70	17.70	1605.32
1994 09 17 12	43891.20	0.00	401.30	0.00	18.39	18.39	1648.58
1994 09 18 12	43545.60	0.00	405.52	0.00	15.41	15.41	1486.53
1994 09 19 12	43545.60	0.02	400.40	0.00	15.30	15.30	1463.62
1994 09 20 12	43200.00	0.00	399.99	0.00	16.58	16.58	1535.92
1994 09 21 12	43200.00	0.00	396.39	0.00	18.56	18.56	1567.35
