  38.30
3375.00
 235588171
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1994 01 03 12	33868.80	0.00	261.78	0.00	-1.49	-1.49	181.90
1994 01 04 12	33868.80	0.00	233.15	0.00	0.37	0.37	235.46
1994 01 05 12	33868.80	5.63	242.25	0.00	0.63	0.63	259.31
1994 01 06 12	33888.92	2.28	167.78	0.00	-6.93	-6.93	189.29
1994 01 07 12	34214.40	0.00	272.28	0.00	-8.60	-8.60	145.94
1994 01 08 12	34214.40	0.00	248.22	0.00	-3.93	-3.93	115.79
1994 01 09 12	34214.40	0.73	229.91	0.00	-5.68	-5.68	206.37
1994 01 10 12	34214.40	0.00	276.67	0.00	-7.49	-7.49	256.35
1994 01 11 12	34214.40	0.00	171.03	0.00	-7.48	-7.48	217.86
1994 01 12 12	34356.74	0.01	275.95	0.00	-7.04	-7.04	258.96
1994 01 13 12	34560.00	0.01	254.97	0.00	-5.11	-5.11	268.04
1994 01 14 12	34560.00	0.00	275.81	0.00	-3.76	-3.76	298.90
1994 01 15 12	34560.00	0.00	269.86	0.00	-2.99	-2.99	277.26
1994 01 16 12	34560.00	0.00	287.85	0.00	-3.95	-3.95	264.12
1994 01 17 12	34905.60	0.00	286.75	0.00	-6.25	-6.25	204.45
1994 01 18 12	34905.60	0.00	293.80	0.00	-3.43	-3.43	226.98
1994 01 19 12	34905.60	0.01	295.70	0.00	-1.27	-1.27	174.10
1994 01 20 12	34905.60	0.01	298.25	0.00	-0.92	-0.92	180.53
1994 01 21 12	35251.20	0.00	293.89	0.00	-0.18	-0.18	195.33
1994 01 22 12	35251.20	0.00	259.56	0.00	0.21	0.21	230.69
1994 01 23 12	35251.20	0.00	258.48	0.00	0.23	0.23	236.94
1994 01 24 12	35393.54	2.47	278.68	0.00	0.13	0.13	330.73
1994 01 25 12	35596.80	0.96	247.08	0.00	-1.63	-1.63	249.59
1994 01 26 12	35596.80	3.63	246.21	0.00	-4.84	-4.84	298.32
1994 01 27 12	35596.80	0.17	250.90	0.00	-5.48	-5.48	291.60
1994 01 28 12	35942.40	1.51	278.84	0.00	-6.04	-6.04	286.50
1994 01 29 12	35942.40	0.00	312.58	0.00	-8.72	-8.72	232.37
1994 01 30 12	35942.40	3.63	183.77	0.00	-9.08	-9.08	226.97
1994 01 31 12	36288.00	2.20	322.63	0.00	-13.63	-13.63	143.21
1994 02 01 12	36288.00	0.02	329.91	0.00	-14.95	-14.95	114.51
1994 02 02 12	36288.00	0.01	306.68	0.00	-11.32	-11.32	132.88
1994 02 03 12	36633.60	0.01	319.73	0.00	-8.63	-8.63	170.35
1994 02 04 12	36633.60	4.85	265.10	0.00	-6.71	-6.71	247.19
1994 02 05 12	36633.60	0.70	284.70	0.00	-5.77	-5.77	305.93
1994 02 06 12	36979.20	0.52	288.58	0.00	-6.54	-6.54	261.84
1994 02 07 12	36979.20	3.57	177.97	0.00	-3.53	-3.53	345.81
1994 02 08 12	36979.20	16.34	241.97	0.00	-3.19	-3.19	366.72
1994 02 09 12	37324.80	0.33	329.03	0.00	-6.49	-6.49	288.17
1994 02 10 12	37324.80	1.38	242.13	0.00	-5.14	-5.14	274.94
1994 02 11 12	37616.73	11.17	228.40	0.00	-4.86	-4.86	306.74
1994 02 12 12	37670.40	0.75	354.66	0.00	-11.77	-11.77	176.94
1994 02 13 12	37670.40	3.22	353.73	0.00	-10.08	-10.08	151.08
1994 02 14 12	38016.00	0.17	349.33	0.00	-5.70	-5.70	189.38
1994 02 15 12	38016.00	0.00	361.61	0.00	-5.24	-5.24	174.01
1994 02 16 12	38036.12	0.00	305.70	0.00	-2.69	-2.69	242.47
1994 02 17 12	38361.60	5.87	227.14	0.00	-0.59	-0.59	361.33
1994 02 18 12	38361.60	12.20	293.82	0.00	-3.57	-3.57	339.74
1994 02 19 12	38707.20	7.65	201.61	0.00	-7.75	-7.75	235.25
1994 02 20 12	38707.20	2.46	293.27	0.00	-9.00	-9.00	210.15
1994 02 21 12	38849.54	3.37	232.65	0.00	-7.00	-7.00	261.54
1994 02 22 12	39052.80	1.83	210.69	0.00	-7.84	-7.84	228.51
1994 02 23 12	39052.80	2.92	369.86	0.00	-9.91	-9.91	180.92
1994 02 24 12	39398.40	0.00	367.16	0.00	-5.50	-5.50	232.11
1994 02 25 12	39398.40	0.09	367.01	0.00	-1.29	-1.29	341.24
1994 02 26 12	39744.00	0.00	358.84	0.00	-0.46	-0.46	318.85
1994 02 27 12	39744.00	4.99	280.40	0.00	-0.92	-0.92	320.50
1994 02 28 12	39744.00	4.44	346.26	0.00	-2.94	-2.94	322.91
1994 03 01 12	40089.60	2.03	407.26	0.00	-3.96	-3.96	286.13
1994 03 02 12	40089.60	0.10	410.49	0.00	-1.52	-1.52	322.00
1994 03 03 12	40435.20	0.11	413.55	0.00	0.24	0.24	318.00
1994 03 04 12	40435.20	0.00	411.07	0.00	1.32	1.32	346.59
1994 03 05 12	40780.80	0.00	375.64	0.00	1.63	1.63	329.32
1994 03 06 12	40780.80	0.03	402.97	0.00	0.84	0.84	336.87
1994 03 07 12	40780.80	0.00	420.18	0.00	0.36	0.36	361.30
1994 03 08 12	41126.40	0.29	421.85	0.00	-1.50	-1.50	288.18
1994 03 09 12	41126.40	0.25	434.62	0.00	-1.71	-1.71	259.41
1994 03 10 12	41472.00	0.00	377.97	0.00	0.28	0.28	255.97
1994 03 11 12	41472.00	13.20	360.04	0.00	0.82	0.82	347.30
1994 03 12 12	41817.60	3.35	424.76	0.00	-0.63	-0.63	364.31
1994 03 13 12	41817.60	0.32	437.54	0.00	0.17	0.17	319.49
1994 03 14 12	41817.60	0.37	438.38	0.00	2.38	2.38	304.30
1994 03 15 12	42163.20	0.00	439.03	0.00	4.50	4.50	275.28
1994 03 16 12	42163.20	0.00	401.08	0.00	6.14	6.14	324.36
1994 03 17 12	42508.80	0.03	438.32	0.00	4.87	4.87	302.19
1994 03 18 12	42508.80	0.51	311.49	0.00	3.93	3.93	320.47
1994 03 19 12	42854.40	4.03	334.16	0.00	3.21	3.21	471.42
1994 03 20 12	42854.40	8.17	402.62	0.00	0.61	0.61	393.00
1994 03 21 12	43200.00	0.16	454.63	0.00	0.58	0.58	299.63
1994 03 22 12	43200.00	2.14	432.05	0.00	1.84	1.84	355.05
1994 03 23 12	43200.00	3.24	420.46	0.00	-2.23	-2.23	207.50
1994 03 24 12	43545.60	0.00	373.05	0.00	-0.39	-0.39	237.52
1994 03 25 12	43545.60	4.50	366.90	0.00	0.84	0.84	316.79
1994 03 26 12	43891.20	3.76	465.85	0.00	-0.96	-0.96	304.70
1994 03 27 12	43891.20	2.22	474.15	0.00	-2.15	-2.15	206.37
1994 03 28 12	44236.80	0.42	471.04	0.00	-0.96	-0.96	197.43
1994 03 29 12	44236.80	0.00	433.52	0.00	3.18	3.18	250.59
1994 03 30 12	44582.40	0.00	428.12	0.00	2.48	2.48	191.48
1994 03 31 12	44582.40	0.00	469.60	0.00	3.45	3.45	241.47
1994 04 01 12	44582.40	0.85	442.17	0.00	3.32	3.32	287.47
1994 04 02 12	44928.00	0.44	459.16	0.00	0.89	0.89	314.34
1994 04 03 12	44928.00	0.01	458.44	0.00	3.46	3.46	291.85
1994 04 04 12	45273.60	4.24	410.45	0.00	1.32	1.32	315.68
1994 04 05 12	45273.60	1.35	422.52	0.00	-3.54	-3.54	224.60
1994 04 06 12	45619.20	0.00	343.70	0.00	-0.45	-0.45	243.77
1994 04 07 12	45619.20	15.73	380.99	0.00	1.56	1.56	317.68
1994 04 08 12	45619.20	0.04	377.57	0.00	1.11	1.11	293.55
1994 04 09 12	45964.80	35.46	387.47	0.00	0.32	0.32	387.20
1994 04 10 12	45964.80	6.93	389.85	0.00	-2.04	-2.04	347.92
1994 04 11 12	46310.40	1.36	470.24	0.00	-0.25	-0.25	397.00
1994 04 12 12	46310.40	0.05	492.03	0.00	2.28	2.28	347.89
1994 04 13 12	46656.00	0.61	488.04	0.00	5.28	5.28	358.65
1994 04 14 12	46656.00	0.00	485.54	0.00	6.49	6.49	326.90
1994 04 15 12	46656.00	0.00	498.38	0.00	5.09	5.09	315.39
1994 04 16 12	47001.60	0.01	495.73	0.00	8.48	8.48	314.32
1994 04 17 12	47001.60	0.00	431.17	0.00	11.20	11.20	339.34
1994 04 18 12	47347.20	0.00	395.98	0.00	12.35	12.35	381.35
1994 04 19 12	47347.20	0.05	328.99	0.00	12.12	12.12	406.15
1994 04 20 12	47550.46	0.10	445.94	0.00	13.06	13.06	413.47
1994 04 21 12	47692.80	0.04	493.69	0.00	13.04	13.04	376.05
1994 04 22 12	47692.80	0.00	496.75	0.00	11.26	11.26	401.58
1994 04 23 12	48038.40	0.49	474.96	0.00	8.73	8.73	304.31
1994 04 24 12	48038.40	0.08	400.33	0.00	5.54	5.54	271.89
1994 04 25 12	48363.88	8.19	365.26	0.00	-0.46	-0.46	270.27
1994 04 26 12	48384.00	10.70	422.65	0.00	-1.07	-1.07	309.92
1994 04 27 12	48384.00	7.08	425.04	0.00	-0.68	-0.68	308.13
1994 04 28 12	48729.60	15.34	408.01	0.00	-0.11	-0.11	346.95
1994 04 29 12	48729.60	9.92	407.60	0.00	-0.20	-0.20	345.65
1994 04 30 12	48783.27	0.23	395.69	0.00	0.96	0.96	307.24
1994 05 01 12	49075.20	4.43	411.08	0.00	4.40	4.40	404.40
1994 05 02 12	49075.20	1.13	529.98	0.00	4.58	4.58	352.01
1994 05 03 12	49420.80	0.58	390.32	0.00	7.41	7.41	410.33
1994 05 04 12	49420.80	0.00	528.56	0.00	9.24	9.24	437.46
1994 05 05 12	49420.80	0.00	505.86	0.00	11.00	11.00	449.81
1994 05 06 12	49766.40	0.08	514.47	0.00	10.17	10.17	452.71
1994 05 07 12	49766.40	0.59	291.39	0.00	5.77	5.77	307.92
1994 05 08 12	49766.40	0.40	483.76	0.00	4.71	4.71	294.03
1994 05 09 12	50112.00	0.10	492.09	0.00	6.90	6.90	380.72
1994 05 10 12	50112.00	2.88	527.49	0.00	8.96	8.96	446.39
1994 05 11 12	50112.00	0.09	455.09	0.00	10.13	10.13	423.98
1994 05 12 12	50457.60	0.00	536.04	0.00	10.71	10.71	443.50
1994 05 13 12	50457.60	5.33	510.03	0.00	11.43	11.43	579.40
1994 05 14 12	50457.60	0.86	534.15	0.00	10.28	10.28	477.92
1994 05 15 12	50803.20	0.06	538.16	0.00	12.25	12.25	477.37
1994 05 16 12	50803.20	0.00	542.82	0.00	10.10	10.10	308.50
1994 05 17 12	50803.20	1.72	443.16	0.00	6.69	6.69	280.53
1994 05 18 12	51006.46	1.37	522.95	0.00	6.35	6.35	315.33
1994 05 19 12	51148.80	0.62	499.53	0.00	4.00	4.00	300.08
1994 05 20 12	51148.80	1.58	537.51	0.00	4.04	4.04	284.61
1994 05 21 12	51148.80	0.00	555.25	0.00	6.34	6.34	253.97
1994 05 22 12	51494.40	0.00	554.15	0.00	9.80	9.80	250.06
1994 05 23 12	51494.40	0.00	549.92	0.00	11.76	11.76	319.14
1994 05 24 12	51494.40	0.00	516.87	0.00	12.97	12.97	338.90
1994 05 25 12	51494.40	2.21	436.26	0.00	10.08	10.08	446.54
1994 05 26 12	51840.00	0.07	510.92	0.00	10.75	10.75	505.48
1994 05 27 12	51840.00	1.72	536.25	0.00	11.34	11.34	529.57
1994 05 28 12	51840.00	2.03	495.77	0.00	12.51	12.51	491.22
1994 05 29 12	51840.00	0.03	552.38	0.00	13.18	13.18	382.47
1994 05 30 12	52043.26	5.74	487.07	0.00	14.66	14.66	427.79
1994 05 31 12	52185.60	3.50	460.88	0.00	14.31	14.31	571.54
1994 06 01 12	52185.60	0.36	534.46	0.00	12.24	12.24	531.21
1994 06 02 12	52185.60	0.00	539.96	0.00	13.41	13.41	532.19
1994 06 03 12	52185.60	0.00	530.38	0.00	15.39	15.39	432.56
1994 06 04 12	52185.60	0.00	550.24	0.00	15.01	15.01	368.50
1994 06 05 12	52511.08	0.00	536.40	0.00	14.23	14.23	329.03
1994 06 06 12	52531.20	0.00	543.71	0.00	13.77	13.77	329.74
1994 06 07 12	52531.20	0.00	548.94	0.00	11.53	11.53	337.19
1994 06 08 12	52531.20	0.00	548.06	0.00	10.15	10.15	308.11
1994 06 09 12	52531.20	0.00	549.80	0.00	11.93	11.93	302.08
1994 06 10 12	52531.20	0.00	546.76	0.00	15.19	15.19	365.32
1994 06 11 12	52531.20	0.00	540.77	0.00	17.68	17.68	393.00
1994 06 12 12	52531.20	0.00	544.00	0.00	18.02	18.02	419.58
1994 06 13 12	52584.87	0.00	542.30	0.00	17.44	17.44	425.63
1994 06 14 12	52856.68	0.23	541.86	0.00	16.93	16.93	390.30
1994 06 15 12	52876.80	0.09	543.77	0.00	14.91	14.91	431.38
1994 06 16 12	52876.80	0.00	545.97	0.00	14.15	14.15	410.58
1994 06 17 12	52876.80	0.00	544.76	0.00	14.53	14.53	354.08
1994 06 18 12	52876.80	0.33	519.97	0.00	16.12	16.12	449.42
1994 06 19 12	52876.80	0.57	509.38	0.00	16.42	16.42	508.83
1994 06 20 12	52876.80	0.00	459.35	0.00	17.67	17.67	545.91
1994 06 21 12	52876.80	1.61	455.12	0.00	16.48	16.48	624.39
1994 06 22 12	52876.80	0.74	528.40	0.00	16.31	16.31	583.16
1994 06 23 12	52876.80	0.03	539.32	0.00	18.52	18.52	492.87
1994 06 24 12	52876.80	0.08	544.92	0.00	19.86	19.86	401.37
1994 06 25 12	52876.80	0.06	544.21	0.00	20.83	20.83	419.71
1994 06 26 12	52876.80	0.00	542.98	0.00	20.64	20.64	407.63
1994 06 27 12	52876.80	0.00	535.45	0.00	19.68	19.68	422.23
1994 06 28 12	52856.68	0.00	532.53	0.00	20.08	20.08	491.23
1994 06 29 12	52734.46	0.00	536.49	0.00	20.94	20.94	460.70
1994 06 30 12	52584.87	0.00	541.40	0.00	20.97	20.97	416.56
1994 07 01 12	52531.20	0.88	481.92	0.00	20.77	20.77	411.56
1994 07 02 12	52531.20	0.00	474.78	0.00	18.94	18.94	504.13
1994 07 03 12	52531.20	0.00	506.96	0.00	18.24	18.24	414.94
1994 07 04 12	52531.20	0.00	508.92	0.00	17.16	17.16	332.10
1994 07 05 12	52531.20	0.00	507.12	0.00	17.38	17.38	378.99
1994 07 06 12	52531.20	0.00	514.55	0.00	15.40	15.40	314.56
1994 07 07 12	52531.20	0.00	509.91	0.00	11.71	11.71	348.97
1994 07 08 12	52239.27	0.00	512.69	0.00	15.33	15.33	332.47
1994 07 09 12	52185.60	0.00	509.07	0.00	18.93	18.93	311.87
1994 07 10 12	52185.60	0.24	450.53	0.00	19.45	19.45	418.85
1994 07 11 12	52185.60	0.28	504.32	0.00	19.37	19.37	412.92
1994 07 12 12	52185.60	0.00	498.99	0.00	18.85	18.85	381.40
1994 07 13 12	52165.48	0.00	450.88	0.00	18.80	18.80	345.93
1994 07 14 12	51840.00	0.00	501.36	0.00	19.06	19.06	358.71
1994 07 15 12	51840.00	0.00	505.80	0.00	19.25	19.25	364.96
1994 07 16 12	51840.00	0.00	503.58	0.00	18.96	18.96	359.23
1994 07 17 12	51840.00	0.36	419.03	0.00	18.37	18.37	380.83
1994 07 18 12	51697.66	1.31	434.48	0.00	18.79	18.79	498.14
1994 07 19 12	51494.40	0.75	483.43	0.00	18.50	18.50	595.40
1994 07 20 12	51494.40	0.17	498.84	0.00	18.03	18.03	460.89
1994 07 21 12	51494.40	2.67	453.13	0.00	18.82	18.82	531.93
1994 07 22 12	51352.06	2.46	456.08	0.00	18.79	18.79	655.56
1994 07 23 12	51148.80	1.54	438.88	0.00	18.84	18.84	626.03
1994 07 24 12	51148.80	1.09	452.64	0.00	19.51	19.51	633.47
1994 07 25 12	51148.80	1.59	487.66	0.00	19.91	19.91	605.57
1994 07 26 12	50803.20	0.23	465.11	0.00	20.76	20.76	519.49
1994 07 27 12	50803.20	0.13	460.10	0.00	21.38	21.38	549.81
1994 07 28 12	50803.20	0.22	469.25	0.00	21.64	21.64	545.18
1994 07 29 12	50511.27	1.54	470.81	0.00	21.15	21.15	567.40
1994 07 30 12	50457.60	3.54	473.19	0.00	20.85	20.85	763.30
1994 07 31 12	50457.60	0.95	476.68	0.00	19.78	19.78	756.63
1994 08 01 12	50315.26	0.13	453.77	0.00	19.51	19.51	654.57
1994 08 02 12	50112.00	0.01	471.09	0.00	19.11	19.11	528.61
1994 08 03 12	50112.00	0.00	478.10	0.00	19.53	19.53	381.58
1994 08 04 12	49969.66	0.00	473.07	0.00	20.74	20.74	354.65
1994 08 05 12	49766.40	0.00	469.92	0.00	20.59	20.59	385.44
1994 08 06 12	49766.40	0.00	449.46	0.00	20.61	20.61	460.38
1994 08 07 12	49474.47	0.75	435.74	0.00	20.97	20.97	530.11
1994 08 08 12	49420.80	0.02	436.92	0.00	20.20	20.20	595.39
1994 08 09 12	49420.80	14.00	349.16	0.00	17.50	17.50	726.58
1994 08 10 12	49075.20	1.04	440.48	0.00	17.61	17.61	709.75
1994 08 11 12	49075.20	10.13	398.23	0.00	18.75	18.75	772.91
1994 08 12 12	49075.20	7.07	416.77	0.00	19.30	19.30	787.85
1994 08 13 12	48729.60	6.25	427.69	0.00	18.52	18.52	773.26
1994 08 14 12	48729.60	1.65	431.34	0.00	19.00	19.00	715.18
1994 08 15 12	48587.26	1.39	444.58	0.00	19.36	19.36	652.90
1994 08 16 12	48384.00	0.66	444.39	0.00	20.43	20.43	580.37
1994 08 17 12	48384.00	0.49	444.29	0.00	20.84	20.84	668.45
1994 08 18 12	48038.40	3.48	402.33	0.00	19.69	19.69	795.61
1994 08 19 12	48038.40	3.64	419.96	0.00	17.90	17.90	723.90
1994 08 20 12	48018.28	2.21	423.12	0.00	17.36	17.36	668.04
1994 08 21 12	47692.80	6.89	432.70	0.00	17.82	17.82	726.57
1994 08 22 12	47692.80	0.26	452.26	0.00	17.49	17.49	601.94
1994 08 23 12	47347.20	0.00	455.72	0.00	16.88	16.88	447.30
1994 08 24 12	47347.20	0.00	449.53	0.00	17.78	17.78	437.69
1994 08 25 12	47055.27	0.00	451.58	0.00	18.14	18.14	455.28
1994 08 26 12	47001.60	0.00	444.36	0.00	18.05	18.05	464.76
1994 08 27 12	47001.60	1.29	393.51	0.00	18.33	18.33	668.21
1994 08 28 12	46656.00	3.53	424.17	0.00	16.05	16.05	774.71
1994 08 29 12	46656.00	0.57	427.45	0.00	18.03	18.03	716.99
1994 08 30 12	46310.40	2.33	415.92	0.00	17.85	17.85	544.86
1994 08 31 12	46310.40	0.24	424.50	0.00	16.39	16.39	503.25
1994 09 01 12	46310.40	0.13	461.53	0.00	15.99	15.99	570.82
1994 09 02 12	45964.80	0.00	473.86	0.00	15.77	15.77	559.82
1994 09 03 12	45964.80	0.68	458.81	0.00	15.83	15.83	617.48
1994 09 04 12	45619.20	0.05	477.93	0.00	14.88	14.88	504.50
1994 09 05 12	45619.20	0.00	471.08	0.00	15.59	15.59	477.17
1994 09 06 12	45273.60	2.22	435.23	0.00	16.74	16.74	553.54
1994 09 07 12	45273.60	0.05	461.54	0.00	16.44	16.44	563.16
1994 09 08 12	45253.48	0.00	451.13	0.00	17.10	17.10	611.17
1994 09 09 12	44928.00	0.00	465.85	0.00	16.80	16.80	519.91
1994 09 10 12	44928.00	0.05	373.41	0.00	15.39	15.39	461.51
1994 09 11 12	44582.40	0.07	460.17	0.00	14.25	14.25	497.98
1994 09 12 12	44582.40	1.47	445.75	0.00	13.57	13.57	532.01
1994 09 13 12	44236.80	0.22	463.43	0.00	11.74	11.74	409.15
1994 09 14 12	44236.80	0.65	463.35	0.00	7.91	7.91	347.66
1994 09 15 12	43891.20	0.00	460.58	0.00	8.35	8.35	314.32
1994 09 16 12	43891.20	0.39	457.82	0.00	9.83	9.83	324.27
1994 09 17 12	43891.20	0.36	435.01	0.00	12.53	12.53	343.27
1994 09 18 12	43545.60	0.02	339.62	0.00	14.41	14.41	428.47
1994 09 19 12	43545.60	1.45	361.72	0.00	13.45	13.45	513.38
1994 09 20 12	43200.00	9.27	416.97	0.00	12.82	12.82	541.72
