  41.87
 628.00
 255522555
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 12 13 12	32381.30	0.00	231.07	0.00	-4.04	-4.04	329.31
1993 12 14 12	32211.94	0.00	228.81	0.00	0.93	0.93	362.75
1993 12 15 12	32140.80	0.01	153.57	0.00	1.27	1.27	611.06
1993 12 16 12	32140.80	0.25	232.95	0.00	0.21	0.21	536.91
1993 12 17 12	32140.80	0.03	230.96	0.00	-1.65	-1.65	370.44
1993 12 18 12	32140.80	0.00	114.07	0.00	-0.20	-0.20	518.64
1993 12 19 12	32140.80	5.44	74.78	0.00	0.72	0.72	606.35
1993 12 20 12	32140.80	0.00	134.80	0.00	-0.42	-0.42	526.20
1993 12 21 12	32140.80	8.81	144.27	0.00	-0.41	-0.41	555.28
1993 12 22 12	32140.80	0.70	136.51	0.00	-3.78	-3.78	389.61
1993 12 23 12	32140.80	0.78	131.70	0.00	-5.03	-5.03	344.33
1993 12 24 12	32140.80	0.00	131.40	0.00	-7.64	-7.64	281.19
1993 12 25 12	32140.80	0.87	189.10	0.00	-6.18	-6.18	331.59
1993 12 26 12	32140.80	2.01	158.30	0.00	-13.36	-13.36	177.74
1993 12 27 12	32140.80	0.00	151.90	0.00	-15.90	-15.90	142.47
1993 12 28 12	32211.94	0.00	233.26	0.00	-12.28	-12.28	196.07
1993 12 29 12	32381.30	0.00	151.24	0.00	-13.86	-13.86	189.88
1993 12 30 12	32486.40	1.92	169.28	0.00	-10.76	-10.76	226.60
1993 12 31 12	32486.40	0.28	147.55	0.00	-11.38	-11.38	231.99
1994 01 01 12	32486.40	0.62	246.50	0.00	-5.15	-5.15	361.13
1994 01 02 12	32486.40	0.68	235.07	0.00	-1.94	-1.94	477.59
1994 01 03 12	32486.40	0.04	182.95	0.00	-7.31	-7.31	310.88
1994 01 04 12	32486.40	16.74	182.69	0.00	-6.21	-6.21	356.12
1994 01 05 12	32557.54	2.15	199.55	0.00	-10.31	-10.31	240.75
1994 01 06 12	32832.00	2.34	153.02	0.00	-14.13	-14.13	183.61
1994 01 07 12	32832.00	5.05	122.19	0.00	-6.89	-6.89	336.74
1994 01 08 12	32832.00	1.68	140.75	0.00	-9.27	-9.27	274.33
1994 01 09 12	32832.00	0.53	237.36	0.00	-13.54	-13.54	178.07
1994 01 10 12	32832.00	0.00	293.20	0.00	-14.32	-14.32	169.98
1994 01 11 12	33177.60	0.02	137.67	0.00	-6.64	-6.64	333.38
1994 01 12 12	33177.60	0.34	181.67	0.00	-4.83	-4.83	409.23
1994 01 13 12	33177.60	0.16	290.01	0.00	-5.23	-5.23	404.02
1994 01 14 12	33177.60	5.20	151.43	0.00	-7.54	-7.54	325.09
1994 01 15 12	33523.20	1.33	146.12	0.00	-17.68	-17.68	123.96
1994 01 16 12	33523.20	0.19	306.02	0.00	-20.53	-20.53	90.81
1994 01 17 12	33523.20	3.07	187.74	0.00	-12.45	-12.45	220.09
1994 01 18 12	33523.20	0.58	246.83	0.00	-17.26	-17.26	149.54
1994 01 19 12	33868.80	0.66	324.35	0.00	-25.40	-25.40	58.14
1994 01 20 12	33868.80	0.01	323.04	0.00	-22.90	-22.90	82.10
1994 01 21 12	33868.80	0.06	217.95	0.00	-19.56	-19.56	115.68
1994 01 22 12	34214.40	0.75	287.42	0.00	-11.56	-11.56	218.57
1994 01 23 12	34214.40	0.00	230.44	0.00	-8.84	-8.84	322.51
1994 01 24 12	34214.40	2.96	297.36	0.00	-2.30	-2.30	501.63
1994 01 25 12	34560.00	0.19	247.00	0.00	-5.77	-5.77	381.59
1994 01 26 12	34560.00	7.17	155.28	0.00	-12.54	-12.54	213.17
1994 01 27 12	34560.00	0.66	161.02	0.00	-12.36	-12.36	218.84
1994 01 28 12	34905.60	15.88	142.84	0.00	-1.46	-1.46	543.44
1994 01 29 12	34905.60	0.45	168.68	0.00	-3.76	-3.76	422.13
1994 01 30 12	34905.60	0.03	217.56	0.00	-8.99	-8.99	267.40
1994 01 31 12	35251.20	0.02	300.30	0.00	-9.72	-9.72	180.98
1994 02 01 12	35251.20	0.27	215.10	0.00	-11.24	-11.24	201.79
1994 02 02 12	35491.70	0.28	254.66	0.00	-13.42	-13.42	166.93
1994 02 03 12	35596.80	0.90	191.81	0.00	-9.65	-9.65	234.03
1994 02 04 12	35596.80	0.10	160.20	0.00	-10.42	-10.42	229.01
1994 02 05 12	35942.40	0.10	280.94	0.00	-5.59	-5.59	345.02
1994 02 06 12	35942.40	0.69	323.12	0.00	-8.58	-8.58	272.39
1994 02 07 12	36288.00	0.00	320.27	0.00	-8.04	-8.04	274.45
1994 02 08 12	36288.00	8.48	145.39	0.00	-12.91	-12.91	194.86
1994 02 09 12	36288.00	4.99	138.04	0.00	-11.54	-11.54	224.59
1994 02 10 12	36633.60	0.00	346.02	0.00	-17.28	-17.28	129.85
1994 02 11 12	36633.60	0.07	290.45	0.00	-12.30	-12.30	228.00
1994 02 12 12	36979.20	0.69	268.62	0.00	-8.34	-8.34	311.26
1994 02 13 12	36979.20	0.31	159.82	0.00	-4.12	-4.12	416.18
1994 02 14 12	37324.80	0.06	363.55	0.00	-10.97	-10.97	225.92
1994 02 15 12	37324.80	0.23	354.11	0.00	-6.36	-6.36	347.10
1994 02 16 12	37324.80	0.00	366.59	0.00	-6.33	-6.33	339.04
1994 02 17 12	37670.40	0.00	361.20	0.00	-4.98	-4.98	362.60
1994 02 18 12	37670.40	0.00	365.41	0.00	-0.99	-0.99	399.20
1994 02 19 12	38016.00	0.00	348.81	0.00	1.68	1.68	465.33
1994 02 20 12	38016.00	0.04	319.72	0.00	4.56	4.56	616.96
1994 02 21 12	38361.60	0.50	269.91	0.00	3.97	3.97	691.41
1994 02 22 12	38361.60	0.00	375.91	0.00	-4.92	-4.92	378.95
1994 02 23 12	38707.20	8.16	120.13	0.00	-5.45	-5.45	373.66
1994 02 24 12	38707.20	9.64	150.14	0.00	-2.58	-2.58	469.43
1994 02 25 12	39052.80	0.17	371.30	0.00	-9.32	-9.32	243.84
1994 02 26 12	39052.80	8.75	314.75	0.00	-10.95	-10.95	231.49
1994 02 27 12	39398.40	0.00	405.39	0.00	-17.44	-17.44	130.63
1994 02 28 12	39398.40	0.00	380.65	0.00	-16.09	-16.09	149.23
1994 03 01 12	39744.00	0.10	250.48	0.00	-7.90	-7.90	264.74
1994 03 02 12	39744.00	2.12	248.51	0.00	-8.59	-8.59	290.22
1994 03 03 12	40089.60	16.46	198.85	0.00	-4.47	-4.47	414.01
1994 03 04 12	40089.60	0.18	237.10	0.00	-5.61	-5.61	376.75
1994 03 05 12	40330.10	1.18	324.71	0.00	-2.06	-2.06	479.00
1994 03 06 12	40435.20	1.10	182.09	0.00	-5.40	-5.40	359.06
1994 03 07 12	40506.34	1.47	197.69	0.00	-0.57	-0.57	534.03
1994 03 08 12	40780.80	4.04	263.50	0.00	-0.90	-0.90	515.30
1994 03 09 12	40851.94	2.53	239.00	0.00	-6.40	-6.40	311.42
1994 03 10 12	41126.40	15.00	199.60	0.00	-2.92	-2.92	459.10
1994 03 11 12	41126.40	0.00	356.44	0.00	-3.56	-3.56	328.52
1994 03 12 12	41472.00	0.00	374.99	0.00	-5.51	-5.51	329.15
1994 03 13 12	41472.00	1.33	263.74	0.00	-0.38	-0.38	473.09
1994 03 14 12	41817.60	2.17	456.31	0.00	-0.93	-0.93	495.31
1994 03 15 12	41817.60	4.86	218.76	0.00	1.46	1.46	581.67
1994 03 16 12	42163.20	2.04	163.30	0.00	-5.28	-5.28	374.82
1994 03 17 12	42163.20	0.28	397.81	0.00	-10.15	-10.15	231.38
1994 03 18 12	42508.80	6.43	206.19	0.00	-6.25	-6.25	363.51
1994 03 19 12	42508.80	0.58	477.83	0.00	-4.56	-4.56	379.32
1994 03 20 12	42854.40	0.00	454.17	0.00	-4.81	-4.81	363.00
1994 03 21 12	42854.40	6.63	190.67	0.00	-2.21	-2.21	452.32
1994 03 22 12	43200.00	5.33	476.59	0.00	1.09	1.09	556.95
1994 03 23 12	43545.60	0.00	458.07	0.00	4.22	4.22	566.81
1994 03 24 12	43545.60	0.17	427.31	0.00	7.02	7.02	684.05
1994 03 25 12	43891.20	0.04	457.93	0.00	-0.33	-0.33	491.10
1994 03 26 12	43891.20	0.00	362.15	0.00	-4.30	-4.30	370.95
1994 03 27 12	44236.80	8.43	170.76	0.00	0.97	0.97	570.59
1994 03 28 12	44236.80	1.12	295.81	0.00	2.31	2.31	611.83
1994 03 29 12	44582.40	1.11	229.52	0.00	0.39	0.39	499.78
1994 03 30 12	44582.40	0.17	274.64	0.00	-0.38	-0.38	472.16
1994 03 31 12	44928.00	0.00	394.72	0.00	-0.32	-0.32	447.02
1994 04 01 12	44928.00	0.00	418.90	0.00	1.53	1.53	477.21
1994 04 02 12	45273.60	1.88	400.08	0.00	5.44	5.44	589.45
1994 04 03 12	45273.60	6.03	185.93	0.00	5.32	5.32	668.61
1994 04 04 12	45548.06	0.22	476.58	0.00	0.62	0.62	472.41
1994 04 05 12	45619.20	0.00	309.79	0.00	5.33	5.33	600.31
1994 04 06 12	45893.66	6.05	136.98	0.00	6.10	6.10	835.16
1994 04 07 12	45964.80	10.90	303.42	0.00	-0.63	-0.63	523.50
1994 04 08 12	46069.90	0.00	491.48	0.00	-0.81	-0.81	363.67
1994 04 09 12	46310.40	0.00	326.96	0.00	5.71	5.71	563.65
1994 04 10 12	46310.40	11.32	162.02	0.00	8.79	8.79	995.47
1994 04 11 12	46656.00	0.07	468.29	0.00	4.04	4.04	564.95
1994 04 12 12	46656.00	15.02	140.09	0.00	4.55	4.55	713.27
1994 04 13 12	47001.60	13.77	271.61	0.00	9.54	9.54	1064.97
1994 04 14 12	47001.60	0.97	415.64	0.00	8.68	8.68	911.82
1994 04 15 12	47347.20	0.67	474.17	0.00	14.33	14.33	1000.76
1994 04 16 12	47347.20	12.91	302.56	0.00	10.51	10.51	1014.92
1994 04 17 12	47692.80	0.73	381.69	0.00	4.26	4.26	532.92
1994 04 18 12	47692.80	0.09	495.75	0.00	5.07	5.07	492.28
1994 04 19 12	48038.40	0.51	379.06	0.00	12.13	12.13	983.29
1994 04 20 12	48038.40	0.00	504.39	0.00	5.31	5.31	554.19
1994 04 21 12	48384.00	0.00	512.19	0.00	2.66	2.66	400.08
1994 04 22 12	48384.00	0.00	515.64	0.00	1.54	1.54	363.54
1994 04 23 12	48729.60	0.00	500.87	0.00	3.30	3.30	409.09
1994 04 24 12	48729.60	0.00	473.86	0.00	9.11	9.11	677.03
1994 04 25 12	49075.20	0.87	432.57	0.00	15.53	15.53	1169.58
1994 04 26 12	49075.20	1.03	458.13	0.00	18.06	18.06	1412.44
1994 04 27 12	49075.20	3.74	383.84	0.00	18.04	18.04	1577.88
1994 04 28 12	49420.80	0.69	356.19	0.00	8.59	8.59	863.92
1994 04 29 12	49420.80	15.39	251.13	0.00	11.92	11.92	1214.66
1994 04 30 12	49766.40	1.32	363.41	0.00	10.44	10.44	1036.19
1994 05 01 12	49766.40	16.91	292.29	0.00	10.21	10.21	1147.10
1994 05 02 12	50112.00	0.01	357.29	0.00	4.01	4.01	619.12
1994 05 03 12	50112.00	0.00	501.96	0.00	5.71	5.71	537.49
1994 05 04 12	50112.00	0.04	283.76	0.00	6.72	6.72	721.71
1994 05 05 12	50457.60	0.70	252.45	0.00	8.20	8.20	831.16
1994 05 06 12	50457.60	1.64	393.81	0.00	6.82	6.82	840.95
1994 05 07 12	50803.20	0.90	299.11	0.00	5.68	5.68	802.98
1994 05 08 12	50803.20	8.94	217.25	0.00	7.72	7.72	983.27
1994 05 09 12	50908.30	0.04	320.97	0.00	8.16	8.16	863.77
1994 05 10 12	51148.80	1.97	454.79	0.00	8.96	8.96	805.67
1994 05 11 12	51148.80	0.00	349.34	0.00	7.94	7.94	737.75
1994 05 12 12	51494.40	3.11	240.53	0.00	8.72	8.72	940.19
1994 05 13 12	51494.40	0.00	506.40	0.00	3.87	3.87	554.04
1994 05 14 12	51494.40	0.00	506.76	0.00	7.22	7.22	619.09
1994 05 15 12	51840.00	3.98	198.04	0.00	12.11	12.11	1169.52
1994 05 16 12	51840.00	6.83	243.04	0.00	11.51	11.51	1236.02
1994 05 17 12	51840.00	1.40	190.53	0.00	4.91	4.91	794.64
1994 05 18 12	52185.60	0.00	212.11	0.00	6.28	6.28	853.72
1994 05 19 12	52185.60	0.86	359.42	0.00	7.91	7.91	939.02
1994 05 20 12	52185.60	0.03	427.58	0.00	9.33	9.33	880.05
1994 05 21 12	52531.20	0.00	493.95	0.00	13.13	13.13	941.71
1994 05 22 12	52531.20	0.00	430.66	0.00	16.89	16.89	1254.55
1994 05 23 12	52531.20	0.00	491.26	0.00	17.26	17.26	1358.94
1994 05 24 12	52876.80	0.00	347.08	0.00	13.95	13.95	1220.37
1994 05 25 12	52876.80	11.24	351.32	0.00	16.02	16.02	1495.03
1994 05 26 12	52876.80	9.73	303.06	0.00	14.62	14.62	1429.98
1994 05 27 12	52876.80	0.22	459.25	0.00	6.04	6.04	735.85
1994 05 28 12	53222.40	0.05	471.89	0.00	7.25	7.25	696.34
1994 05 29 12	53222.40	0.00	496.73	0.00	12.11	12.11	994.17
1994 05 30 12	53222.40	0.00	488.45	0.00	15.31	15.31	1246.49
1994 05 31 12	53222.40	0.00	451.35	0.00	18.49	18.49	1655.75
1994 06 01 12	53568.00	24.23	363.73	0.00	14.92	14.92	1383.53
1994 06 02 12	53568.00	0.00	399.82	0.00	7.11	7.11	813.97
1994 06 03 12	53568.00	0.00	467.46	0.00	9.45	9.45	964.16
1994 06 04 12	53568.00	0.00	479.02	0.00	13.15	13.15	1026.76
1994 06 05 12	53568.00	0.00	469.39	0.00	16.88	16.88	1370.94
1994 06 06 12	53842.46	3.63	298.18	0.00	16.34	16.34	1572.93
1994 06 07 12	53913.60	3.00	476.19	0.00	18.73	18.73	1769.86
1994 06 08 12	53913.60	0.11	459.92	0.00	13.55	13.55	1292.94
1994 06 09 12	53913.60	0.00	493.98	0.00	10.63	10.63	947.79
1994 06 10 12	53913.60	0.00	487.01	0.00	14.67	14.67	1096.95
1994 06 11 12	53913.60	25.89	215.26	0.00	13.65	13.65	1296.75
1994 06 12 12	53913.60	15.84	365.63	0.00	17.43	17.43	1658.69
1994 06 13 12	54018.70	10.83	345.01	0.00	19.77	19.77	1882.28
1994 06 14 12	54188.06	39.68	402.34	0.00	22.69	22.69	2294.81
1994 06 15 12	54259.20	0.00	409.61	0.00	23.83	23.83	2328.39
1994 06 16 12	54259.20	0.37	425.10	0.00	24.88	24.88	2335.29
1994 06 17 12	54259.20	0.09	395.75	0.00	24.65	24.65	2474.07
1994 06 18 12	54259.20	0.00	429.63	0.00	25.02	25.02	2466.06
1994 06 19 12	54259.20	0.00	446.26	0.00	23.63	23.63	2355.89
1994 06 20 12	54259.20	0.62	461.39	0.00	19.85	19.85	1762.86
1994 06 21 12	54259.20	5.10	324.69	0.00	21.74	21.74	2219.43
1994 06 22 12	54259.20	0.50	473.28	0.00	17.28	17.28	1469.02
1994 06 23 12	54259.20	0.06	353.26	0.00	17.27	17.27	1482.13
1994 06 24 12	54259.20	10.59	258.82	0.00	18.78	18.78	1918.95
1994 06 25 12	54259.20	14.54	389.25	0.00	19.77	19.77	1986.65
1994 06 26 12	54259.20	0.96	320.13	0.00	17.01	17.01	1640.61
1994 06 27 12	54259.20	7.60	302.68	0.00	18.92	18.92	1794.87
1994 06 28 12	54188.06	4.95	398.96	0.00	17.17	17.17	1718.28
1994 06 29 12	54018.70	3.41	326.53	0.00	19.19	19.19	1793.46
1994 06 30 12	53913.60	1.20	273.94	0.00	17.92	17.92	1755.28
1994 07 01 12	53913.60	0.26	505.03	0.00	17.65	17.65	1663.26
1994 07 02 12	53913.60	0.46	465.03	0.00	20.06	20.06	1865.84
1994 07 03 12	53913.60	1.47	458.75	0.00	19.51	19.51	1813.31
1994 07 04 12	53913.60	0.00	467.60	0.00	19.69	19.69	1853.32
1994 07 05 12	53913.60	9.61	301.92	0.00	21.34	21.34	2167.03
1994 07 06 12	53913.60	8.84	422.17	0.00	23.37	23.37	2345.67
1994 07 07 12	53673.10	5.84	351.12	0.00	23.78	23.78	2393.76
1994 07 08 12	53568.00	4.71	355.01	0.00	23.83	23.83	2356.03
1994 07 09 12	53568.00	2.53	363.63	0.00	23.04	23.04	2326.76
1994 07 10 12	53568.00	0.94	399.75	0.00	19.32	19.32	1876.51
1994 07 11 12	53568.00	0.00	461.69	0.00	14.87	14.87	1386.48
1994 07 12 12	53327.50	0.00	487.02	0.00	17.28	17.28	1516.91
1994 07 13 12	53222.40	2.16	429.84	0.00	21.46	21.46	2063.35
1994 07 14 12	53222.40	0.91	292.64	0.00	19.74	19.74	1881.79
1994 07 15 12	53222.40	0.41	395.48	0.00	20.54	20.54	2067.30
1994 07 16 12	53151.26	0.01	459.44	0.00	20.07	20.07	1878.46
1994 07 17 12	52876.80	0.21	425.19	0.00	19.23	19.23	1762.43
1994 07 18 12	52876.80	5.05	335.52	0.00	20.97	20.97	1980.11
1994 07 19 12	52876.80	4.99	460.96	0.00	20.72	20.72	1917.27
1994 07 20 12	52531.20	0.10	446.89	0.00	22.41	22.41	2094.56
1994 07 21 12	52531.20	0.09	392.36	0.00	22.68	22.68	2197.86
1994 07 22 12	52531.20	1.67	410.58	0.00	21.10	21.10	2091.81
1994 07 23 12	52460.06	1.73	336.11	0.00	20.45	20.45	1987.24
1994 07 24 12	52185.60	7.94	371.80	0.00	19.61	19.61	1877.94
1994 07 25 12	52185.60	7.75	277.01	0.00	19.31	19.31	1813.38
1994 07 26 12	52185.60	7.35	357.44	0.00	18.98	18.98	1739.67
1994 07 27 12	51840.00	0.35	371.40	0.00	16.58	16.58	1446.52
1994 07 28 12	51840.00	10.78	288.96	0.00	16.98	16.98	1688.34
1994 07 29 12	51768.86	0.02	412.05	0.00	18.49	18.49	1675.28
1994 07 30 12	51494.40	0.24	375.39	0.00	19.83	19.83	1904.16
1994 07 31 12	51494.40	0.00	436.51	0.00	18.99	18.99	1701.52
1994 08 01 12	51148.80	0.00	429.54	0.00	21.40	21.40	1929.78
1994 08 02 12	51148.80	2.68	340.92	0.00	20.55	20.55	1883.98
1994 08 03 12	51148.80	2.27	359.76	0.00	20.07	20.07	1886.88
1994 08 04 12	50803.20	4.28	289.91	0.00	19.63	19.63	1956.89
1994 08 05 12	50803.20	5.31	359.84	0.00	16.20	16.20	1611.84
1994 08 06 12	50562.70	0.00	434.09	0.00	11.84	11.84	1035.08
1994 08 07 12	50457.60	0.00	464.20	0.00	14.52	14.52	1219.49
1994 08 08 12	50457.60	0.00	409.90	0.00	17.94	17.94	1650.20
1994 08 09 12	50112.00	0.00	325.00	0.00	18.99	18.99	1828.72
1994 08 10 12	50112.00	0.16	464.73	0.00	14.55	14.55	1362.21
1994 08 11 12	49766.40	2.60	176.92	0.00	13.84	13.84	1298.41
1994 08 12 12	49766.40	2.39	274.10	0.00	17.50	17.50	1787.16
1994 08 13 12	49766.40	32.03	216.92	0.00	21.44	21.44	2235.53
1994 08 14 12	49420.80	67.57	313.63	0.00	19.28	19.28	1938.31
1994 08 15 12	49420.80	0.24	401.42	0.00	12.30	12.30	1180.96
1994 08 16 12	49075.20	1.04	458.37	0.00	14.19	14.19	1318.31
1994 08 17 12	49075.20	10.64	221.39	0.00	15.76	15.76	1673.71
1994 08 18 12	48729.60	36.83	393.43	0.00	19.26	19.26	1990.01
1994 08 19 12	48729.60	0.00	427.83	0.00	18.60	18.60	1664.33
1994 08 20 12	48384.00	1.84	410.52	0.00	20.37	20.37	1932.60
1994 08 21 12	48384.00	25.46	226.62	0.00	19.68	19.68	1998.12
1994 08 22 12	48143.50	1.36	437.13	0.00	16.95	16.95	1593.19
1994 08 23 12	48038.40	0.26	474.13	0.00	12.99	12.99	1131.12
1994 08 24 12	48038.40	1.37	461.87	0.00	14.26	14.26	1274.09
1994 08 25 12	47692.80	5.95	302.84	0.00	16.77	16.77	1629.99
1994 08 26 12	47692.80	2.43	427.75	0.00	20.43	20.43	1981.51
1994 08 27 12	47347.20	6.25	319.89	0.00	20.24	20.24	1998.55
1994 08 28 12	47347.20	7.12	326.99	0.00	19.59	19.59	1968.40
1994 08 29 12	47001.60	5.11	439.84	0.00	16.71	16.71	1564.27
1994 08 30 12	47001.60	0.09	457.67	0.00	13.75	13.75	1173.14
1994 08 31 12	46656.00	1.22	314.63	0.00	16.86	16.86	1593.23
1994 09 01 12	46656.00	0.53	346.65	0.00	15.58	15.58	1560.07
1994 09 02 12	46310.40	0.00	360.57	0.00	11.85	11.85	1082.80
1994 09 03 12	46310.40	0.00	310.55	0.00	10.69	10.69	972.28
1994 09 04 12	45964.80	0.00	411.94	0.00	12.23	12.23	1062.91
1994 09 05 12	45964.80	0.00	407.54	0.00	11.58	11.58	990.24
1994 09 06 12	45619.20	0.00	426.99	0.00	11.79	11.79	942.17
1994 09 07 12	45619.20	0.21	359.81	0.00	13.51	13.51	1259.19
1994 09 08 12	45273.60	0.70	388.29	0.00	13.36	13.36	1200.40
1994 09 09 12	45273.60	1.57	328.71	0.00	15.18	15.18	1394.30
1994 09 10 12	44928.00	0.00	414.14	0.00	11.26	11.26	1045.48
1994 09 11 12	44928.00	0.00	409.38	0.00	9.02	9.02	891.03
1994 09 12 12	44582.40	0.00	414.87	0.00	11.33	11.33	1044.42
1994 09 13 12	44582.40	0.00	339.65	0.00	16.44	16.44	1502.54
1994 09 14 12	44236.80	1.28	297.54	0.00	19.31	19.31	1865.23
1994 09 15 12	44236.80	0.56	254.25	0.00	19.39	19.39	1899.58
1994 09 16 12	43891.20	0.77	316.46	0.00	20.76	20.76	2076.11
1994 09 17 12	43891.20	1.14	198.28	0.00	19.44	19.44	1954.50
